Data collector,Author,Year,Journal,Vol.p.p,Species,Native,Sample size,Fitness measure,Trait,Selection differential (s),s standard error ,s significance,Selection gradient (B),B standard error,B significance
KingsolverDiamond,Alatalo and Lundberg,1986,Evolution,40:574-583,Ficedula hypoleuca,yes,641,male mating success,tarsus length,-0.01,,ns,,,
KingsolverDiamond,Alatalo and Lundberg,1986,Evolution,40:574-583,Ficedula hypoleuca,yes,713,female mating success,tarsus length,0.01,,sig,,,
KingsolverDiamond,Alatalo and Lundberg,1986,Evolution,40:574-583,Ficedula hypoleuca,yes,1705,survival,tarsus length,0.04,,ns,,,
KingsolverDiamond,Alatalo et al.,1990,American Naturalist,135(3):464-471,Ficedula albicollis,yes,NA,survival,tarus length,0.02,,ns,-0.06,,
KingsolverDiamond,Alatalo et al.,1990,American Naturalist,135(3):464-471,Ficedula albicollis,yes,NA,survival,tarus length,0.08,,ns,-0.01,,
KingsolverDiamond,Alatalo et al.,1990,American Naturalist,135(3):464-471,Ficedula albicollis,yes,NA,survival,tarus length,0.19,,sig,0.01,,
KingsolverDiamond,Alatalo et al.,1990,American Naturalist,135(3):464-471,Ficedula albicollis,yes,NA,survival,tarus length,0.2,,sig,0.12,,
KingsolverDiamond,Alatalo et al.,1990,American Naturalist,135(3):464-471,Ficedula albicollis,yes,NA,survival,weight,,,,0.21,,
KingsolverDiamond,Alatalo et al.,1990,American Naturalist,135(3):464-471,Ficedula albicollis,yes,NA,survival,weight,,,,0.25,,
KingsolverDiamond,Alatalo et al.,1990,American Naturalist,135(3):464-471,Ficedula albicollis,yes,NA,survival,weight,,,,0.27,,
KingsolverDiamond,Alatalo et al.,1990,American Naturalist,135(3):464-471,Ficedula albicollis,yes,NA,survival,weight,,,,0.33,,
KingsolverDiamond,Alcántara et al.,1997,Oikos,79:291-300,Olea europaea var. sylvestris,yes,NA,number of seeds dispersed,pulp/seed ratio: pulp dry weight divided by seed dry weight,,,,-0.15,0.03,
KingsolverDiamond,Alcántara et al.,1997,Oikos,79:291-300,Olea europaea var. sylvestris,yes,NA,number of seeds dispersed,Ripening phenology (larger values indicate later starting of ripening season,,,,-0.07,0.03,
KingsolverDiamond,Alcántara et al.,1997,Oikos,79:291-300,Olea europaea var. sylvestris,yes,40,number of seeds dispersed,pulp/seed ratio: pulp dry weight divided by seed dry weight,,,,0.19,0.03,
KingsolverDiamond,Alcántara et al.,1997,Oikos,79:291-300,Olea europaea var. sylvestris,yes,40,number of seeds dispersed,fruit width,,,,0.27,0.04,
KingsolverDiamond,Alcántara et al.,1997,Oikos,79:291-300,Olea europaea var. sylvestris,yes,40,number of seeds dispersed,ripening phenology (larger values indicate later starting of ripening season,,,,0.44,0.03,
KingsolverDiamond,Alcántara et al.,1997,Oikos,79:291-300,Olea europaea var. sylvestris,yes,40,number of seeds dispersed,crop size: number of full-sized fruits produced,,,,0.69,0.03,
KingsolverDiamond,Alcántara et al.,1997,Oikos,79:291-300,Olea europaea var. sylvestris,yes,NA,number of seeds dispersed,fruit width,,,,0.71,0.03,
KingsolverDiamond,Alcántara et al.,1997,Oikos,79:291-300,Olea europaea var. sylvestris,yes,NA,number of seeds dispersed,crop size: number of full-sized fruits produced,,,,1.16,0.03,
KingsolverDiamond,Arnold and Wade,1984,Evolution,38:720-734,Rana catesbeiana,yes,38,fertility per mate,body size,0.09,,,0.81,,
KingsolverDiamond,Arnold and Wade,1984,Evolution,38:720-734,Rana catesbeiana,yes,38,offspring survivorship,body size,0.12,,,1.08,,
KingsolverDiamond,Arnold and Wade,1984,Evolution,38:720-734,Rana catesbeiana,yes,38,mating success,body size,0.63,,,5.67,,
KingsolverDiamond,Arnold and Wade,1984,Evolution,38:720-734,Rana catesbeiana,yes,38,total selection,body size,0.83,,,7.56,,
KingsolverDiamond,Arnold and Wade,1984,Evolution,38:720-734,Chauliognathus pennsylvanicus,yes,na (see comment),copulatory success,size (dry weight),0.15,,,,,
KingsolverDiamond,Arnold and Wade,1984,Evolution,38:720-734,Anolis garmani,yes,333,survivorship,body size,0.16,,,,,
KingsolverDiamond,Arnold and Wade,1984,Evolution,38:720-734,Anolis garmani,yes,326,survivorship,body size,0.19,,,,,
KingsolverDiamond,Arnold and Wade,1984,Evolution,38:720-734,Chauliognathus pennsylvanicus,yes,na (see comment),copulatory success,size (dry weight),0.22,,,,,
KingsolverDiamond,Arnold and Wade,1984,Evolution,38:720-734,Anolis garmani,yes,651,copulatory success,body size,0.23,,,,,
KingsolverDiamond,Arnold and Wade,1984,Evolution,38:720-734,Anolis garmani,yes,523,copulatory success,body size,0.63,,,,,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,159,mate succ.,weight*,0.19,,sig,0.38,0.16,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,159,mate succ.,width of pronotum*,0.13,,ns,-0.04,0.11,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,157,mate succ.,parasite load *,-0.06,,ns,-0.04,0.08,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,154,mate succ.,parasite load *,-0.1,,ns,-0.14,0.08,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,157,mate succ.,lgth of mid-leg(3),0.06,,ns,-0.02,0.12,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,154,mate succ.,parasite load,,,,,,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,157,mate succ.,width of pronotum,,,,,,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,159,mate succ.,parasite load *,-0.2,,sig,-0.2,0.08,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,157,mate succ.,parasite load,,,,,,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,157,mate succ.,width of pronotum*,-0.01,,ns,-0.14,0.1,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,154,mate succ.,width of pronotum,,,,,,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,159,mate succ.,width of pronotum,,,,,,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,159,mate succ.,parasite load,,,,,,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,159,mate succ.,lgth of fore femur,0.1,,ns,0.05,0.09,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,154,mate succ.,width of pronotum*,0.06,,ns,-0.13,0.11,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,157,mate succ.,pronotal spot,-0.01,,ns,-0.01,0.08,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,159,mate succ.,lgth of mid-leg(3),0.06,,ns,-0.05,0.11,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,154,mate succ.,weight*,0.21,,sig,0.45,0.13,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,154,mate succ.,weight,,,,,,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,154,mate succ.,pronotal spot,-0.06,,ns,-0.06,0.08,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,157,mate succ.,abdominal proc*,0.01,,ns,,0.08,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,159,mate succ.,lgth of pronotum,,,,,,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,154,mate succ.,lgth of fore femur,,,ns,-0.06,0.1,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,159,mate succ.,abdominal proc,,,,,,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,159,mate succ.,lgth of pronotum*,0.03,,ns,-0.26,0.12,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,159,mate succ.,pronotal spot,-0.01,,ns,-0.05,0.08,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,159,mate succ.,abdominal proc*,0.25,,sig,0.19,0.08,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,154,mate succ.,lgth of mid-leg(3),0.03,,ns,0.08,0.11,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,154,mate succ.,abdominal proc,,,,,,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,154,mate succ.,abdominal proc*,0.05,,ns,0.05,0.08,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,157,mate succ.,weight*,0.14,,ns,0.3,0.14,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,154,mate succ.,lgth of pronotum,,,,,,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,157,mate succ.,lgth of pronotum,,,,,,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,157,mate succ.,weight,,,,,,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,154,mate succ.,lgth of pronotum*,0.05,,ns,-0.11,0.12,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,157,mate succ.,lgth of fore femur,0.06,,ns,0.04,0.12,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,157,mate succ.,lgth of pronotum*,0.05,,ns,-0.1,0.13,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,157,mate succ.,abdominal proc,,,,,,
KingsolverDiamond,"Arnqvist, G",1992,Evolution,46(4):914-929,Gerris odontogaster,yes,159,mate succ.,weight,,,,,,
KingsolverDiamond,Aspi et al.,2003,Evolution,57(3):509-517,Silene tatarica,yes,NA,number of capsules,stem number,0.82,,,0.51,,
KingsolverDiamond,Aspi et al.,2003,Evolution,57(3):509-517,Silene tatarica,yes,NA,number of capsules,density,,,,0.63,,
KingsolverDiamond,Aspi et al.,2003,Evolution,57(3):509-517,Silene tatarica,yes,NA,number of capsules,stem number,0.85,,,0.67,,
KingsolverDiamond,Aspi et al.,2003,Evolution,57(3):509-517,Silene tatarica,yes,NA,number of capsules,height,0.51,,,0.68,,
KingsolverDiamond,Aspi et al.,2003,Evolution,57(3):509-517,Silene tatarica,yes,NA,number of capsules,density,,,,0.68,,
KingsolverDiamond,Aspi et al.,2003,Evolution,57(3):509-517,Silene tatarica,yes,NA,number of capsules,height,0.59,,,0.96,,
JAL,Benitez-vieyra et al. ,2010,JEB,23(12):2760-2767,Turnera ulmifolia,yes,57,estimated total seeds,Petal length,,,,0.09,0.082,ns
JAL,Benitez-vieyra et al. ,2010,JEB,23(12):2760-2767,Turnera ulmifolia,yes,57,estimated total seeds,Flower number,,,,0.63,0.074,sig
JAL,Benitez-vieyra et al. ,2010,JEB,23(12):2760-2767,Turnera ulmifolia,yes,57,estimated total seeds,Nectar production,,,,0.08,0.082,ns
JAL,Benitez-vieyra et al. ,2010,JEB,23(12):2760-2767,Turnera ulmifolia,yes,57,estimated total seeds,signal accuracy,,,,0.19,0.074,sig
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,126,Number of young recruited  into local breeding population,Size: indexed as 1st PC from morphological data,,,,0.25,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,193,Number of young recruited  into local breeding population,Wing length (size corrected),,,,0.46,,
